dam_nm,obsrvt_nm,obsr_de,rain_qy,prvyy_rain_qy,thsyy_acml_rain_qy,prvyy_acml_rain_qy,oy_avg_acml_rain_qy
기상청,금평,20241013,0,0,1203.5,1352,1083
대곡,울산시(천전리),20241009,0,0,1041,1514,1213.9
시화조력,안산시(시화조력),20241027,0,0,806.5,996,1054.2
평림,장성군(수산리),20241027,1,0,1309,1972,1283.7
연초,거제시(연초댐),20241028,4,0,2286.5,2077,1487.3
연초,거제시(연초댐),20241030,0,0,2286.5,2077,1487.3
경인아라뱃길,김포시(아라김포터미널),20241008,0,0,899,1241.5,1126.5
담양홍수조절지,담양군(담양홍수조절지),20241008,0,0,1280,2207,1330.5
무주양수,무주양수,20241008,0,0,879.5,1385,1245.4
지자체(부산),녹산12(부산),20241008,2,0,636,1409,977.9
괴산,송면(전),20241008,0,0,28,1486,1125
김천부항,김천시(파천리),20241027,2,0,1259,1634,1147.7
경인아라뱃길,인천시(귤현보),20241027,0,0,1079,1143,1038.5
도암,송천1교(전),20241027,0,13,3,1007,938.7
지자체(용인),남사면(용인),20241027,0,0,0,44,159.8
선암,울산시(선암댐),20241027,2,0,1514,1363,1236.4
한탄강,철원군(오덕초교),20241027,0,0,1311,1378,1373.9
보령,부여군(삼산리),20241027,0,0,1645,2232,1432.6
평화의댐,화천군(풍산리),20241027,0,0,1172.6,1049.8,1259.4
연초,거제시(연초댐),20241015,4.7,0,2118.5,2076,1455.4
연초,거제시(연초댐),20241024,0,0,2276.3,2077,1477.2
연초,거제시(연초댐),20241009,0,0,2075.9,2076,1443.7
연초,거제시(연초댐),20241016,0,0,2118.5,2076,1456.7
연초,거제시(연초댐),20241012,0,0,2076.1,2076,1450.2
연초,거제시(연초댐),20241001,0,0,1723.2,2075,1395.7
부안,부안군(부안청림천문대),20241009,0,1,1243,2023,1281
선암,울산시(선암댐),20241009,0,1,1305,1353,1163.4
섬진강,임실군(용암리),20241009,0,0,1163,1755,1141.2
구천,거제시(구천댐),20241009,0,0,1851,2370,2480.6
횡성,횡성군(횡성댐),20241009,0,4,1480,1267,1278.2
장흥,영암군(한대리),20241009,2,0,1604,1725,1403.9
남강,하동군(대곡리),20241009,0,0,1539,2178,1497
광동,삼척시(광동댐),20241009,0,6,1161,1013,1158.3
장흥,영암군(한대리),20241027,1,1,1755,1761,1434.3
보현산,영천시(보현산댐),20241027,4,0,1057,1254,965.1
안계,경주시(안계댐),20241027,3.5,0,947,949,871.8
성덕,청송군(갈천리),20241027,7,1,1155,1427,1074.5
용담,장수군(원촌리),20241027,2,0,1254,1680,1225
담양홍수조절지,담양군(담양홍수조절지),20241027,1,0,1359,2207,1368.3
연초,거제시(연초댐),20241025,0,0,2276.3,2077,1477.3
춘천,춘천댐(FTP),20241009,0,1,1336,1255.5,1338.2
주암(본),화순군(맹리),20241009,0,0,1454,1979,1345.3
영천,포항시(가사리),20241009,0,0,980.5,1120.5,948.4
보현산,영천시(보현산댐),20241009,0,0,988,1249,941.6
지자체(울산),북구청(울산),20241027,2,0,1272.5,627.5,1135.9
춘천,지내천(전),20241027,0,0,8,1185,901.5
연초,거제시(연초댐),20241011,0,0,2076.1,2076,1443.8
팔당,팔당댐(FTP),20241008,0,0,1158,1221.5,1924.7
화천,지촌천(전),20241008,0,0,10,1141,977.7
대곡,울산시(천전리),20241008,0,1,1041,1514,1213.3
밀양,울산시(이천리),20241008,9,0,1435,2171,1605.7
섬진강,진안군(도통리),20241008,0,0,1268,1809,1168.1
소양강,춘천시(소양강댐),20241027,0,0,1269,1261,1250.6
대곡,울산시(천전리),20241027,1,0,1157,1519,1246.5
섬진강,진안군(도통리),20241027,1,0,1324,1820,1195.2
남강,진주시(자매리),20241027,1,0,1776,2293,1544
연초,거제시(연초댐),20241019,2.3,0,2150.4,2076,1461.2
연초,거제시(연초댐),20241027,6.2,0,2282.5,2077,1485.4
기상청,북면,20241008,0,0,1171.5,1697,1290.1
홍수통제소,합천군(남정교)_환경부,20241027,1,0,1305,1683,8722.3
군남,연천군(횡산리),20241027,0,0,1690,1558,1241.9
군위,군위군(군위댐),20241027,5,0,1001,1132,934.4
구천,거제시(구천댐),20241027,6,0,2069,2370,2523
충주조정지,괴산군(고마리),20241027,1,0,1474,1674,1139.5
영주,영주시(영주댐),20241027,2,0,1088,1394,994.2
팔당,목동교(전),20241027,0,0,16,1355,1001.5
안동,봉화군(관창리),20241027,0,0,1138,1404,1098.3
지자체(부산),평강(부산),20241027,3,0,883.5,1613.5,1470.9
대청,영동군(남성리),20241027,2,0,1214,1379,1023.1
지자체(부산),녹산12(부산),20241009,0,0,636,1409,977.9
충주조정지,괴산군(오가리),20241009,0,2,1294,1467,1389.2
안동,봉화군(고선리),20241009,0,0,1160,1748,1094.5
임하,영양군(답곡리),20241009,0,0,817,1264,875.8
지자체(홍천),수타사계곡(홍천),20241009,0,0,148,0,106
수어,광양시(어치리),20241027,1,0,2403,2387,1904.2
영천,영천시(영천댐),20241027,3.5,0,883,1156,870
의암,의암댐(FTP),20241027,0,0,1225,1147.5,1425.7
청평,청평댐(FTP),20241027,0,0.5,1326,1437,2024.3
괴산,송면(전),20241027,0,0,28,1486,1134
연초,거제시(연초댐),20241022,123.2,0,2276.3,2077,1475.9
충주,제천시(물태리),20241008,0,0,1273,1405,1041.5
합천,거창군(지산교),20241008,0,0,1061,1469,1095.1
안계,경주시(안계댐),20241008,0.5,0.5,873.5,947.5,850.3
군남,연천군(횡산리),20241008,0,0,1624,1509,1211.5
의암,의암댐(FTP),20241008,0,0,1164.5,1115.5,1400.7
밀양,양산시(선리),20241009,0,0,1226,1795,1434.9
김천부항,김천시(김천부항댐),20241009,0,0,1068,1629,1105.8
안계,경주시(안계댐),20241009,0,0,873.5,947.5,851.2
합천조정지,합천군(남정교),20241009,0,0,1177,1674,1031.1
합천,거창군(우혜리),20241009,0,0,1176,1701,1303
지자체(경기도),태안읍(경기도),20241027,0,0,37,27.5,279.7
기상청,오창,20241027,1,0,1396.5,1465,1143.5
연초,거제시(연초댐),20241023,0,0,2276.3,2077,1476
연초,거제시(연초댐),20241013,0,0,2076.1,2076,1452.3
시화조력,안산시(시화조력),20241008,0,0,739.5,978.5,1025.7
운문,경주시(내칠리),20241008,1,0,1019,1171,1079.4
영주,봉화군(도촌초),20241008,0,0,1026,1830,1086
보현산,영천시(보현산댐),20241008,8,0,988,1249,941.6
소양강,인제군(서성초교),20241008,1,2,948,1129,1027.6
수어,광양시(수어댐),20241008,0,1,2023,2221,1449.6
담양홍수조절지,담양군(담양홍수조절지),20241009,1,0,1281,2207,1330.9
지자체(울산),동구청(울산),20241009,6.5,0,1366.5,664.5,1160.6
지자체(단양),영춘(단양),20241009,0,0,0,1390,599.3
대암,울산시(대암댐),20241027,2,0,1274,1646,3156.2
광동,태백시(상사미동),20241027,0,7,1497,1225,1162.7
달방,동해시(달방댐),20241027,1,17,1391,1141,1145.5
충주,삼척시(광동댐),20241027,0,4,1282,1025,1134.7
지자체(군포),대야도서관(군포),20241027,0,0,0,0,29.5
장흥,장흥군(운월리),20241008,0,2,1731,1826,1423.2
청평,청평댐(FTP),20241008,0,0,1262.5,1403.5,1997.5
도암,송천1교(전),20241008,0,2,3,983,921.9
운문,경주시(내칠리),20241009,0,0,1019,1171,1079.7
수어,광양시(어치리),20241009,0,0,2273,2386,1863
주암(본),화순군(동가리),20241027,0,0,1581,1714,1329.7
감포,경주시(감포댐),20241027,1.5,0,1106,1124.5,1132
밀양,울산시(이천리),20241027,1,0,1545,2182,1654.5
횡성,횡성군(횡성댐),20241027,0,0,1623,1289,1303.2
부안,부안군(부안청림천문대),20241027,2,0,1311,2040,1314.4
지자체(단양),단양군청(단양),20241027,0,0,0,1400,646.8
지자체(홍천),수타사계곡(홍천),20241027,0,0,240,0,163
운문,청도군(신원리),20241027,2,0,1280,1456,1277.2
주암(조),순천시(주암조절지댐),20241009,0,0,1993,2236,1489.5
군위,군위군(양지리),20241009,0,0,972,1185,903.1
한탄강,철원군(오덕초교),20241009,0,9,1240,1362,1344.8
평화의댐,화천군(풍산리),20241009,0,6.5,1111.5,1039.7,1235.2
보령,부여군(삼산리),20241009,0,0,1563,2196,1399.8
기상청,수산,20241009,0,0,1161,1487,1254.6
화천,화천댐(FTP),20241009,0,5.5,1119.5,1052,2320.1
의암,의암댐(FTP),20241009,0,0,1164.5,1115.5,1400.7
군남,연천군(횡산리),20241009,0,14,1624,1523,1214.2
화순홍수조절지,화순군(화순홍수조절지),20241027,1,0,1665,1620,1288.2
안동,봉화군(관창리),20241008,0,0,1068,1386,1071.5
대청,옥천군(원동리),20241008,0,0,1196,1399,1023.5
달방,동해시(달방댐),20241008,10,0,1248,1108,1100.2
홍수통제소,영양군(흥구교),20241008,1,1,920.5,685,1133.8
주암(본),화순군(맹리),20241008,0,1,1454,1979,1344.8
사연,울산시(구미리),20241008,0,1,1072,1455,1211.5
임하,영양군(현리),20241008,1,1,993,1276,889
괴산,내속리(전),20241009,0,2,27,1841,1126.7
감포,경주시(감포댐),20241009,1,2,998,1121,1084.2
시화조력,안산시(시화조력),20241009,0,1,739.5,979.5,1029.2
소양강,인제군(덕적리),20241009,0,4,1021,1093,1143.2
달방,동해시(달방댐),20241009,1,12,1249,1120,1102.2
홍수통제소,산청군(홍계리),20241009,0,0,1390,2089,2722.1
부안,부안군(부안댐),20241008,0,0,1010,1738,1222.5
충주조정지,괴산군(오가리),20241008,0,0,1294,1465,1386.8
성덕,청송군(갈천리),20241008,2,0,1100,1419,1046.9
합천조정지,합천군(남정교),20241008,0,0,1177,1674,1031
화순홍수조절지,화순군(화순홍수조절지),20241008,0,2,1535,1613,1255.9
청평,산장제1교(전),20241009,0,0,13,1562,1062.5
무주양수,무주양수,20241009,0,0,879.5,1385,1247.8
대청,옥천군(원동리),20241009,0,0,1196,1399,1024.7
사연,울산시(사연댐),20241027,1,0,1267,1521,1568.4
합천,거창군(지산교),20241027,1,0,1140,1473,1118.9
감포,경주시(감포댐),20241008,28,0,997,1119,1083.8
광동,태백시(상사미동),20241008,4,1,1329,1195,1118.4
대암,울산시(대암댐),20241008,12,0,1135,1642,3129.2
보령,부여군(삼산리),20241008,0,0,1563,2196,1398.8
용담,진안군(주양리),20241008,0,0,1567,1908,1355.2
춘천,지내천(전),20241008,0,0,8,1184,895.9
화순홍수조절지,화순군(화순홍수조절지),20241009,1,0,1536,1613,1256.3
경인아라뱃길,김포시(아라김포터미널),20241009,0,0.5,899,1242,1128.4
지자체(평택),진위면(평택),20241027,0,0,0,292,287.5
지자체(수원),경기도청(수원),20241027,0,0,153.5,34.5,370.7
지자체(의왕),부곡동(의왕),20241027,0,0,0,92,127.7
합천조정지,합천군(남정교),20241027,1,0,1307,1681,1052.1
김천부항,김천시(월곡리),20241008,0,0,1136,1621,1117.3
횡성,횡성군(춘당리),20241008,0,0,1350,1399,1286.3
Angat,Matulid,20241008,0,0,0,0,165.2
지자체(울산),두동면(울산),20241008,0,0,1276,708,1265.5
대암,울산시(대암댐),20241009,0,0,1135,1642,3129.9
사연,울산시(천전리),20241009,0,0,1041,1514,1212.6
성덕,청송군(성재리),20241009,1,0,1068,1395,1036.8
도암,송천1교(전),20241009,0,0,3,983,922.3
임하,청송군(상의리),20241027,4,0,950,1344,959.1
화천,양구서천(전),20241027,0,0,4,3051,1973
지자체(단양),사평(단양),20241008,0,0,0,1370.5,633.2
평화의댐,화천군(평화의댐),20241008,0,0,1154,1222,1215.6
구천,거제시(구천댐),20241008,0,3,1851,2370,2477.8
영천,포항시(지동리),20241008,11,0,1140,1365,1026.5
팔당,경안교(전),20241009,0,0,13,1175,985.1
충주,충주시(충주댐),20241009,0,1,1159,1393,953
평림,장성군(수산리),20241009,1,0,1227,1963,1254.8
용담,진안군(황금리),20241009,0,0,1298,1815,1332.8
영주,영주시(영주댐),20241009,0,0,1009,1385,974.1
주암(조),순천시(죽학리),20241027,1,0,1854,2096,1549.2
지자체(홍천),모곡4(홍천),20241008,0,0,121,0,83.5
군위,군위군(양지리),20241008,5,0,972,1185,901.3
한탄강,철원군(청양리),20241008,0,0,1408,1075,1209.6
평림,장성군(수산리),20241008,0,2,1226,1963,1253.9
남강,산청군(내대리),20241008,0,2,2065,2765,2219.1
주암(조),순천시(주암조절지댐),20241008,0,2,1993,2236,1488.3
선암,울산시(선암댐),20241008,1,0,1305,1352,1163.1
화천,양구서천(전),20241020,0,0,4,3048,1963.2
지자체(단양),평동(단양),20241007,0,0,0,1215.5,560.1
의암,의암댐(FTP),20241019,0.5,15.5,1197,1131.5,1410.3
선암,울산시(선암댐),20241019,10,0,1444,1361,1212.4
사연,울산시(사연댐),20241019,1,0,1197,1520,1555.7
용담,진안군(주평리),20241019,15,6,1309,1668,1222.8
성덕,청송군(성재리),20241019,12,0,1096,1396,1053.6
지자체(평택),신장동(평택),20241019,0,0,0,283,193.5
지자체(울산),온산읍(울산),20241019,0,0,1069,540,1259.1
장흥,영암군(한대리),20241020,0,1,1635,1731,1413.7
남강,산청군(향양리),20241020,0,2,1224,1561,1177.4
달방,동해시(달방댐),20241020,1,0,1379,1120,1124.1
운문,청도군(운문댐),20241020,0,2.5,936,1278,1090
군위,군위군(군위댐),20241020,0,4,975,1132,920.6
합천,거창군(지산교),20241020,0,3,1099,1473,1107.6
섬진강,임실군(섬진강댐),20241020,0,4,1254,1878,1229.6
대암,울산시(대암댐),20241020,0,2,1196,1646,3143.2
사연,울산시(천전리),20241020,0,3,1092,1519,1230.3
용담,진안군(황금리),20241020,0,5,1328,1828,1345.4
지자체(경기도),태안읍(경기도),20241020,0,0,37,26,279.1
대청,옥천군(인포리),20241007,3,0,1234,1496,1150.6
군위,군위군(군위댐),20241007,4,0,922,1120,898.9
선암,울산시(선암댐),20241007,8,0,1304,1352,1162.8
대암,울산시(대암댐),20241007,7,0,1123,1642,3123.8
시화조력,안산시(시화조력),20241007,0,0,739.5,978.5,1025.4
구천,거제시(구천댐),20241007,4,3,1851,2367,2468.1
충주,평창군(계촌리2),20241019,27,4,1247,1510,1244.4
보현산,영천시(보현산댐),20241019,15,0,1029,1250,955.6
합천,거창군(지산교),20241019,1,1,1099,1470,1107.1
구천,거제시(구천댐),20241026,0,0,2063,2370,2517.6
지자체(홍천),군청(홍천),20241026,0,0,0,0,131.8
경인아라뱃길,김포시(아라김포터미널),20241007,0,0,899,1241.5,1125.7
군남,연천군(군남댐),20241007,0,0,1386.5,1367,1215.8
부안,부안군(부안댐),20241007,4,0,1010,1738,1220.9
대곡,울산시(구미리),20241007,6,0,1072,1454,1201.9
달방,동해시(달방댐),20241007,0,0,1238,1108,1096.6
성덕,청송군(성재리),20241007,3,0,1060,1395,1033.2
임하,청송군(상의리),20241007,4,2,902,1338,930.1
합천조정지,합천군(남정교),20241007,2,0,1177,1674,1028.6
대곡,울산시(구미리),20241019,5,1,1122,1459,1225.3
기상청,대문다리,20241019,22,0,764,1056,869.5
횡성,횡성군(갑천리),20241019,17,10,1495,1405,1355.3
감포,경주시(감포댐),20241019,18,0,1060,1124,1107.4
홍수통제소,대전시(인창교),20241020,0,2,1246,1484,1079.7
도암,송천1교(전),20241020,0,0,3,987,934.8
춘천,춘천댐(FTP),20241020,0,0,1379,1261.5,1349.1
의암,의암댐(FTP),20241020,0,0,1197,1131.5,1411.5
지자체(단양),장림(단양),20241026,0,34,0,1382,611.9
홍수통제소,울산시(봉월초교),20241026,0,0,1013,1235,1264.1
지자체(울산),두동면(울산),20241007,5,0,1276,708,1265.2
밀양,밀양시(밀양댐),20241007,4,0,1166,1662,1218.7
도암,송천1교(전),20241007,0,0,3,981,920.6
보령,보령시(도화담리),20241019,0,9,1448,2127,1322.3
충주조정지,괴산군(고마리),20241019,4,17,1451,1673,1123.2
영천,포항시(지동리),20241019,19,0,1194,1366,1039.7
합천조정지,합천군(남정교),20241019,0,1,1240,1675,1042
팔당,목동교(전),20241019,0,8,16,1349,998.9
도암,송천1교(전),20241019,0,1,3,987,934.8
지자체(단양),평동(단양),20241020,0,2.5,0,1226,569.6
대청,영동군(산막리),20241020,0,3,1153,1447,1042.6
장흥,영암군(한대리),20241026,0,29,1754,1760,1430.9
달방,동해시(달방댐),20241026,0,4,1390,1124,1144.5
대청,보은군(구병리),20241026,0,0,1421,1945,1286
평림,장성군(평림댐),20241007,2,0,1245,1934,1278.5
광동,태백시(상사미동),20241007,0,0,1325,1194,1113.8
횡성,횡성군(갑천리),20241007,0,0,1415,1394,1340.6
홍수통제소,예천군(은풍면사무소),20241007,2,0,1077,1736,1730.3
괴산,압항천(전),20241019,0,7,25,1735,1096.2
보현산,영천시(보현산댐),20241020,0,4,1029,1254,956.8
시화조력,안산시(시화조력),20241020,0,0,799.5,993.5,1052.2
소양강,인제군(덕적리),20241020,0,0,1071,1095,1156.8
부안,부안군(부안청림천문대),20241020,0,9,1276,2039,1301
주암(조),순천시(주암조절지댐),20241020,0,0,2034,2241,1501.8
한탄강,철원군(서면초교),20241020,0,0,1439,1178,1317.3
지자체(홍천),모곡4(홍천),20241007,0,0,121,0,83.5
청평,홍천강(성포교_전),20241007,0,0,4,1053,940.1
기상청,압량면,20241007,2,0,838,1092,737.3
경인아라뱃길,인천시(귤현보),20241028,0,0,1079,1143,1039.1
영천,포항시(죽장면),20241020,0,2,1169.5,1326,994.5
선암,울산시(선암댐),20241020,0,2,1444,1363,1213.1
횡성,횡성군(갑천리),20241020,0,1,1495,1406,1356.5
주암(본),화순군(맹리),20241007,3,1,1454,1978,1338.8
충주,영월군(북쌍리),20241007,0,0,1147,1387,1056.5
영천,포항시(지동리),20241007,4,0,1129,1365,1021.3
의암,의암댐(FTP),20241007,0,0,1164.5,1115.5,1400
용담,진안군(주양리),20241007,5,0,1567,1908,1353
춘천,지내천(전),20241007,0,0,8,1184,895
한탄강,포천시(용담교),20241007,0,0,1472,1171,1198.4
수어,광양시(어치리),20241007,2,2,2273,2385,1856.7
주암(조),순천시(주암조절지댐),20241019,1,5,2034,2241,1501.5
대청,무주군(기곡리),20241019,13,6,1112,1443,1073.1
김천부항,김천시(파천리),20241019,8,2,1229,1631,1134.7
지자체(군포),대야도서관(군포),20241019,0,0,0,0,29.3
지자체(경기도),태안읍(경기도),20241026,0,0,37,27.5,279.7
감포,경주시(감포댐),20241026,0,0,1104.5,1124.5,1130.9
안계,경주시(안계댐),20241026,0,0,943.5,949,871.2
운문,경주시(대현리),20241026,0,0,1236,1324,1182.6
광동,삼척시(광동댐),20241026,0,5,1282,1021,1188
선암,울산시(선암댐),20241026,0,0,1512,1363,1235.7
담양홍수조절지,담양군(담양홍수조절지),20241026,0,0,1358,2207,1363.5
수어,광양시(수어댐),20241020,0,0,2104,2221,1460.3
청평,홍천강(성포교_전),20241020,0,0,4,1067,949.7
충주,원주시(황둔리),20241026,0,15,1570,1641,1356.3
영주,봉화군(도촌초),20241026,0,7,1114,1853,1106.7
대곡,울산시(구미리),20241026,0,0,1180,1464,1241.6
군위,군위군(양지리),20241026,0,0,1029,1193,923.3
성덕,청송군(무계리),20241020,0,3,1218,1637,1239.2
감포,경주시(감포댐),20241020,0,0.5,1060,1124.5,1107.9
평림,장성군(평림댐),20241020,0,6,1287,1944,1294.3
주암(본),보성군(보성강댐),20241020,0,0,1878.5,2166,1470.3
지자체(용인),기흥구청(용인),20241020,0,0,228,52,1987.1
평화의댐,화천군(평화의댐),20241020,0,0,1180,1233,1228.7
충주,강릉시(대기리2),20241028,8,0,1224,1057,1126.3
충주조정지,충주시(대곡리),20241028,0,0,1484,1481,1361.4
구천,거제시(구천댐),20241028,11,0,2080,2370,2525.8
밀양,울산시(이천리),20241028,2,0,1547,2182,1655.3
김천부항,김천시(파천리),20241028,1,0,1260,1634,1149.1
담양홍수조절지,담양군(담양홍수조절지),20241019,0,0,1320,2207,1345.8
주암(본),장흥군(봉동리),20241019,0,1,1851,1915,1463.2
구천,거제시(구천댐),20241019,2,0,1934,2370,2497.5
춘천,춘천댐(FTP),20241019,1.5,5,1379,1261.5,1348.1
지자체(단양),임현(단양),20241019,0,5,0,1383,604.8
화천,지촌천(전),20241019,0,3,10,1150,983.3
지자체(의왕),부곡동(의왕),20241019,0,0,0,92,127.3
한탄강,철원군(서면초교),20241019,1,16,1439,1178,1316
지자체(군포),대야도서관(군포),20241020,0,0,0,0,29.3
지자체(의왕),부곡동(의왕),20241020,0,0,0,92,127.3
지자체(수원),경기도청(수원),20241020,0,0,153.5,34,370.2
지자체(울산),남구청(울산),20241020,0,0,1088.5,649.5,1086.1
지자체(홍천),수타사계곡(홍천),20241020,0,0,194,0,140
지자체(부산),대저(부산),20241020,0,0,0,0,0
보현산,영천시(굼이교),20241007,3,0,1014,1335,924.8
영주,영주시(영주댐),20241007,4,0,1008,1385,972.1
충주조정지,괴산군(오가리),20241007,0,0,1294,1465,1385.6
지자체(수원),경기도청(수원),20241019,0,4,153.5,34,370.2
섬진강,임실군(용암리),20241019,12,5,1196,1760,1156.9
지자체(경기도),태안읍(경기도),20241019,0,2,37,26,279.1
보현산,영천시(굼이교),20241028,0,0,1082,1343,948.8
한탄강,철원군(청양리),20241028,0,0,1467,1111,1239.1
괴산,송면(전),20241020,0,0,28,1486,1131.4
보령,부여군(삼산리),20241020,0,2,1628,2231,1415.9
충주조정지,충주시(대곡리),20241020,0,0,1467,1480,1348.6
담양홍수조절지,담양군(담양홍수조절지),20241007,1,0,1280,2207,1328.1
안동,봉화군(갈산리),20241007,6,0,946,1594,969.2
운문,청도군(신원리),20241007,5,0,1168,1445,1240.5
지자체(부산),녹산12(부산),20241007,3,0,634,1409,977.2
평화의댐,화천군(평화의댐),20241007,0,0,1154,1222,1215.2
주암(조),순천시(죽학리),20241007,4,2,1741,2092,1514.7
안계,경주시(안계댐),20241007,3.5,0,873,947,845.7
사연,울산시(천전리),20241007,5,0,1041,1513,1205.2
홍수통제소,정선군(고한읍사무소),20241019,36,2,1341,1488,1164.3
군위,군위군(군위댐),20241019,25,1,975,1128,920
군남,연천군(횡산리),20241019,2,17,1672,1540,1226.2
부안,부안군(부안댐),20241019,2,3,1036,1746,1258.2
시화조력,안산시(시화조력),20241019,0,11,799.5,993.5,1052.2
장흥,영암군(한대리),20241019,1,3,1635,1730,1412.9
운문,청도군(운문댐),20241019,2.5,2,936,1275.5,1089.2
안계,경주시(안계댐),20241019,8.5,0,915,947.5,861.8
군남,연천군(횡산리),20241020,0,0,1672,1540,1227.4
광동,삼척시(광동댐),20241020,3,1,1268,1016,1175.1
안계,경주시(안계댐),20241020,0,1.5,915,949,861.9
임하,영양군(도곡리),20241020,0,8,965,1440,945.5
안동,안동시(기사리),20241020,0,5,1009,1358,918
김천부항,김천시(월곡리),20241020,0,2,1160,1623,1130.3
합천조정지,합천군(남정교),20241020,0,3,1240,1678,1042.4
대곡,울산시(천전리),20241020,0,3,1092,1519,1230
밀양,밀양시(밀양댐),20241020,0,3,1205,1667,1236.1
괴산,송면(전),20241026,0,0,28,1486,1133.7
합천조정지,합천군(남정교),20241026,0,3,1306,1681,1051.3
수어,광양시(수어댐),20241026,0,0,2182,2221,1474.1
화순홍수조절지,화순군(화순홍수조절지),20241007,4,1,1535,1611,1250.4
화순홍수조절지,화순군(화순홍수조절지),20241019,1,6,1565,1619,1267.6
주암(본),화순군(맹리),20241028,0,0,1559,1994,1380.4
지자체(단양),상방(단양),20241028,0,0,0,1380,637.9
괴산,송면(전),20241028,0,0,28,1486,1135
Angat,Talaguio,20241028,0,0,0,0,187.2
지자체(경기도),태안읍(경기도),20241028,0,0,37,27.5,279.9
군위,군위군(군위댐),20241028,1,0,1002,1132,935.2
안동,안동시(의촌리),20241028,0,0,1059,1487,941
대암,울산시(대암댐),20241028,1,0,1275,1646,3156.6
영천,포항시(가사리),20241028,3,0,1063,1124.5,970.5
홍수통제소,봉화군(대현교),20241028,1.5,0,1277.5,736.5,1386.8
성덕,청송군(무계리),20241028,3,0,1255,1639,1253.2
화천,지촌천(전),20241028,0,0,10,1155,988.1
화순홍수조절지,화순군(화순홍수조절지),20241020,0,1,1565,1620,1268.2
무주양수,무주양수,20241007,4,0,879.5,1385,1244.4
대암,울산시(대암댐),20241019,4,0,1196,1644,3142.8
평림,장성군(평림댐),20241019,1,0,1287,1938,1291.2
광동,태백시(상사미동),20241019,77,1,1481,1208,1144.5
소양강,인제군(서성초교),20241019,4,1,1002,1135,1043.2
남강,함양군(운곡리),20241019,6,5,1424,1869,1411.1
수어,광양시(어치리),20241019,2,1,2327,2387,1879.2
평화의댐,화천군(풍산리),20241019,2.9,3.5,1138,1043.2,1248.3
지자체(홍천),군청(홍천),20241019,0,0,0,0,131.8
기상청,전주_대성동,20241020,0,6,1292,1690,1312.9
지자체(평택),신장동(평택),20241020,0,0,0,283,193.5
김천부항,김천시(파천리),20241007,3,0,1208,1625,1115
보령,부여군(삼산리),20241007,2,0,1563,2196,1397.4
남강,산청군(내대리),20241007,5,1,2065,2763,2214.6
감포,경주시(감포댐),20241007,5,7,969,1119,1073.6
섬진강,임실군(용암리),20241007,4,0,1163,1755,1138.9
지자체(용인),공세동(용인),20241019,0,0,0,56,123.9
감포,경주시(감포댐),20241028,2.5,0,1108.5,1124.5,1133.9
사연,울산시(사연댐),20241028,2,0,1269,1521,1569.8
춘천,지내천(전),20241026,0,0,8,1185,901
지자체(의왕),부곡동(의왕),20241026,0,0,0,92,127.7
영주,봉화군(상운초),20241020,0,5,1061,1549,965.9
충주,강릉시(대기리2),20241020,1,1,1197,1035,1110.7
팔당,목동교(전),20241020,0,0,16,1349,998.9
구천,거제시(구천댐),20241020,0,0,1934,2370,2498.2
화천,지촌천(전),20241007,0,0,10,1141,977.3
괴산,송면(전),20241007,0,0,28,1486,1125
장흥,장흥군(운월리),20241007,4,2,1731,1824,1419.7
합천,거창군(우혜리),20241007,2,0,1176,1700,1299.9
소양강,인제군(귀둔리),20241007,0,0,919,1026,1099.5
팔당,팔당댐(FTP),20241007,0,0,1158,1221.5,1924.2
청평,산장제1교(전),20241019,0,13,13,1577,1071.6
지자체(부산),평강(부산),20241019,1,0,805.5,1612.5,1444.6
도암,송천1교(전),20241026,0,7,3,994,937.1
기상청,하빈면,20241026,0,0,1082,1494,726.1
영천,포항시(죽장면),20241026,0,0,1197,1326,1003.2
한탄강,포천시(용담교),20241026,0,3,1526,1190,1220.6
안동,울진군(전곡리),20241026,0,7,1388,1470,1185.3
충주조정지,충주시(향산리),20241026,0,1,1366,1375,1098.1
횡성,횡성군(갑천리),20241026,0,10,1534,1416,1368.4
시화조력,안산시(시화조력),20241026,0,0,806.5,996,1054.2
지자체(부산),대저(부산),20241026,0,0,0,0,0
경인아라뱃길,김포시(아라김포터미널),20241020,0,0,957.5,1252.5,1141.3
담양홍수조절지,담양군(담양홍수조절지),20241020,0,0,1320,2207,1350
경인아라뱃길,인천시(아라인천터미널),20241019,0.5,9.5,1062.5,1133,1051.7
임하,영양군(답곡리),20241019,5,1,839,1265,886.7
영주,영주시(영주댐),20241019,16,3,1061,1392,987.8
달방,동해시(달방댐),20241019,70,0,1378,1120,1123.5
밀양,밀양시(밀양댐),20241019,3,0,1205,1664,1235.5
안동,봉화군(고선리),20241019,23,3,1240,1757,1108.4
선암,울산시(선암댐),20241029,0,0,1520,1363,1238.7
수어,광양시(수어댐),20241029,0,0,2183,2221,1476
연초,거제시(연초댐),20241002,0,0,2061,2075,1419
